Z,Size range (cm)
-1.600099087,9
-1.576265454,9
-1.569108844,9
-1.2700454,9
-1.344001651,9
-1.338123798,9
-1.315561295,9
-1.581133604,9
-1.530447006,9
0,9
-1.567558527,9
-1.550271511,9
-1.909170032,9
-1.834508896,9
-1.940732241,9
-1.009760737,9
-1.391049981,9
-1.494810343,9
-1.411834478,9
-1.442595243,9
-1.036011219,9
-1.029304981,9
-1.042346001,9
-1.651620746,9
-1.61450386,9
-1.728046894,9
-1.909935474,9
-1.791101694,9
-1.749404311,9
-1.670138836,9
-1.678583622,9
-1.331372142,9
-1.671789289,9
-1.503733635,9
-1.443656921,9
-1.848197341,9
-1.613359094,9
-1.559568048,9
-1.523908138,9
-2.020298004,9
-1.705761433,9
-1.450440049,9
-1.86144495,9
-1.737582326,9
-1.724642038,9
-1.852275729,9
-1.939943314,9
-1.770243287,9
-1.857903361,9
-1.970975518,9
-2.008087158,7
-2.067801476,7
-1.678176045,7
-1.563894033,7
-1.572938681,7
-1.408494473,7
-1.308247209,7
-1.26939249,7
-1.782206178,7
-1.471403956,7
-1.675743222,7
-1.63196969,7
-1.662511349,7
-1.699168682,7
-1.948170424,7
-1.896038055,7
-1.72561729,7
-1.699525595,7
-1.454524279,7
-1.4688797,7
-1.3985641,7
-1.4427284,7
-1.492460251,7
-1.618205428,7
-1.913977385,7
-1.999974728,7
-1.841636062,7
-1.946596742,7
-1.47177279,7
-1.673616767,7
-1.712127447,7
-1.709322572,7
-1.31873405,7
-1.772632957,7
-1.828236341,7
-2.040243387,43
-1.447768569,41
-2.031188726,5
-1.536398292,5
-1.382303357,5
-1.580597878,5
-1.941004395,5
-1.430518508,5
-1.456258416,5
-1.151883841,5
-1.162941575,5
-1.435964346,5
-1.429003119,5
-1.420465231,5
-1.421419621,5
-1.416971326,5
-1.588274002,5
-1.858882785,5
-1.89883101,5
-1.341346979,5
-1.432197094,5
-1.47157383,5
-1.702923059,5
-1.733366132,5
-1.76137495,5
-1.650904059,5
-1.896819234,23
-1.997657299,23
-2.172419786,21
-1.725046754,3
-1.521639585,3
-1.461491346,3
-1.442970634,3
-1.310139656,3
-1.141623139,3
-1.275278091,3
-1.005132198,3
-1.015089393,3
-1.294986486,3
-1.460578203,3
-1.464220405,3
-1.198119998,3
-1.594532013,3
-1.644025445,3
-1.74750793,3
-1.706761599,3
-1.767016649,3
-1.618002415,19
-1.006567597,17
-1.698215246,17
-1.89290309,17
-2.07335639,15
-1.394002676,15
-1.158909678,15
-1.503100395,15
-0.115209602,15
-1.87406373,15
-1.809664249,15
-1.561191559,13
-1.201600552,13
-1.208078027,13
-1.874049306,13
-1.025157452,13
-1.968458295,13
-1.86748302,13
-1.732799888,13
-1.702959418,13
-1.882876515,13
-1.952026725,13
-2.041578531,11
-2.066061735,11
-2.121070147,11
-1.611669421,11
-1.727633715,11
-1.326464057,11
-1.598622799,11
-1.389825344,11
-1.443596601,11
-0.991552472,11
-1.10274744,11
-1.328985214,11
-1.312371135,11
-1.461265564,11
-0.965036035,11
-1.077844501,11
-1.040163398,11
-1.067447066,11
-1.75826776,11
-1.887323022,11
-1.972114921,11
-1.291592836,11
-1.271270037,11
-2.016937256,11
-2.000721455,11
-1.753151774,11
-1.873324633,11
-1.909583449,11
-1.911172748,11
-1.997492194,11
-1.959500909,11
-1.956032991,11
-1.814620972,11
-1.964505911,11
